id,name,country,normal_month,tavg,tmin,tmax,prcp,wspd,pres,tsun,latitude,longitude
01271,Trondheim / Vaernes,NO,4,5.4,1.4,9.3,41.8,,1013.7,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,5,9.5,5.2,13.8,54.9,,1014.0,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,6,13.0,8.9,17.1,75.8,,1013.3,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,7,15.6,11.4,19.9,77.5,,1012.2,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,8,15.0,11.0,19.1,84.4,,1010.4,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,9,11.4,7.8,15.0,89.8,,1010.6,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,10,6.1,2.9,9.3,78.6,,1009.7,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,11,1.8,-1.1,4.7,65.4,,1007.3,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,12,-0.8,-3.8,2.3,75.8,,1006.2,,63.4667,10.9333
01274,Selbu-Stubbe,NO,1,,,,54.6,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,2,,,,65.7,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,3,,,,51.8,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,4,,,,44.0,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,5,,,,61.0,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,6,,,,110.2,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,7,,,,117.5,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,8,,,,114.5,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,9,,,,78.4,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,10,,,,89.1,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,11,,,,59.6,,,,63.2,11.1167
01274,Selbu-Stubbe,NO,12,,,,58.4,,,,63.2,11.1167
01317,Bergen / Florida,NO,1,2.6,0.6,4.7,253.0,,1008.2,,60.3833,5.3333
01317,Bergen / Florida,NO,2,2.5,0.1,4.9,207.9,,1009.4,,60.3833,5.3333
01317,Bergen / Florida,NO,3,4.0,1.2,6.9,201.9,,1011.0,,60.3833,5.3333
01317,Bergen / Florida,NO,4,7.4,3.8,11.1,138.8,,1012.7,,60.3833,5.3333
01317,Bergen / Florida,NO,5,10.9,6.8,15.0,108.8,,1014.4,,60.3833,5.3333
01317,Bergen / Florida,NO,6,13.8,10.0,17.7,133.2,,1012.9,,60.3833,5.3333
01317,Bergen / Florida,NO,7,16.0,12.4,19.7,159.4,,1011.9,,60.3833,5.3333
01317,Bergen / Florida,NO,8,15.9,12.4,19.4,206.0,,1011.5,,60.3833,5.3333
01317,Bergen / Florida,NO,9,13.0,9.9,16.1,248.3,,1012.3,,60.3833,5.3333
01317,Bergen / Florida,NO,10,8.9,6.1,11.7,268.9,,1009.9,,60.3833,5.3333
01317,Bergen / Florida,NO,11,5.4,3.1,7.6,272.9,,1008.0,,60.3833,5.3333
01317,Bergen / Florida,NO,12,3.2,1.0,5.3,290.0,,1008.2,,60.3833,5.3333
01373,Nesbyen-Todokk / Høva,NO,1,-7.6,-11.3,-4.0,33.4,,,,60.5669,9.1336
